guid,title,pubDate,description,link,media
b'\n https://www.hindustantimes.com/fashion-and-trends/malaika-arora-turns-up-the-heat-in-coral-ziad-nakad-gown-bvlgari-serpenti-inspired-necklace/story-FgWupYhLAIOV0qYqRE6joI.html \n',"b'\n Malaika Arora turns up the heat in coral Ziad Nakad gown, Bvlgari Serpenti inspired... \n'","b'\n Wed, 25 Nov 2020 09:35:43 GMT \n'","b'\n While Malaika Arora sizzled our feeds with her coral Ziad Nakad look, it was the serpent like necklace that adorned Malaika\xe2\x80\x99s delicate neck that caught our eye given its stark resemblance to Bvlgari\xe2\x80\x99s famous serpentine design. However the lack of attribution makes one wonder if its a rip off... \n'",b'\n https://www.hindustantimes.com/fashion-and-trends/malaika-arora-turns-up-the-heat-in-coral-ziad-nakad-gown-bvlgari-serpenti-inspired-necklace/story-FgWupYhLAIOV0qYqRE6joI.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_78d6e848-2eff-11eb-8f16-7e4c5fb0d4fd.jpg
b'\n https://www.hindustantimes.com/fashion-and-trends/japan-fights-coronavirus-in-luxurious-style-with-million-yen-masks/story-Lff6dlawy5d0Ys5SBVW0EO.html \n',b'\n Japan fights coronavirus in luxurious style with million-yen masks \n',"b'\n Wed, 25 Nov 2020 09:16:56 GMT \n'","b'\n Japanese trend-setters can now protect against the coronavirus in luxurious style with opulent masks adorned with diamonds and pearls for a cool million yen ($9,600) each. \n'",b'\n https://www.hindustantimes.com/fashion-and-trends/japan-fights-coronavirus-in-luxurious-style-with-million-yen-masks/story-Lff6dlawy5d0Ys5SBVW0EO.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_fa4d3c80-2efd-11eb-b9a2-d7de0b3760e9.png
b'\n https://www.hindustantimes.com/books/playful-book-about-the-beatles-wins-major-nonfiction-prize/story-ffMHrbqJJfD0mCzAqfqReM.html \n',b'\n Playful book about The Beatles wins major nonfiction prize \n',"b'\n Wed, 25 Nov 2020 07:47:26 GMT \n'","b'\n Craig Brown\xe2\x80\x99s \xe2\x80\x9cOne Two Three Four: The Beatles in Time\xe2\x80\x9d was named winner of the 50,000-pound Baillie Gifford Prize at a virtual ceremony in London. \n'",b'\n https://www.hindustantimes.com/books/playful-book-about-the-beatles-wins-major-nonfiction-prize/story-ffMHrbqJJfD0mCzAqfqReM.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_5891038c-2ef2-11eb-b9a2-d7de0b3760e9.jpg
b'\n https://www.hindustantimes.com/travel/airlines-stir-doubts-with-flying-is-safe-claim-on-covid-spread/story-7ps0DkCtuk1Y8mF0njh28J.html \n',"b""\n Airlines stir doubts with 'flying is safe' claim on Covid spread \n""","b'\n Wed, 25 Nov 2020 07:33:04 GMT \n'","b'\n Airlines have loudly insisted that it\xe2\x80\x99s safe to fly during the coronavirus pandemic, and U.S. travel is surging before the Thanksgiving holiday despite a nationwide spike in virus cases. \n'",b'\n https://www.hindustantimes.com/travel/airlines-stir-doubts-with-flying-is-safe-claim-on-covid-spread/story-7ps0DkCtuk1Y8mF0njh28J.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_c590f65c-2eef-11eb-b9a2-d7de0b3760e9.jpg
b'\n https://www.hindustantimes.com/more-lifestyle/study-finds-memories-of-past-events-retain-remarkable-fidelity-even-as-we-age/story-N4aPZFagj1eewKPDgBHMCO.html \n',b'\n Study finds memories of past events retain remarkable fidelity even as we age \n',"b'\n Wed, 25 Nov 2020 05:44:58 GMT \n'","b'\n Scientists studying the complex relationship between ageing and memory have found that in a controlled experiment, people can remember the details about past events with a surprising 94 per cent accuracy. \n'",b'\n https://www.hindustantimes.com/more-lifestyle/study-finds-memories-of-past-events-retain-remarkable-fidelity-even-as-we-age/story-N4aPZFagj1eewKPDgBHMCO.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_26a43454-2ee1-11eb-8f16-7e4c5fb0d4fd.jpg
b'\n https://www.hindustantimes.com/art-and-culture/amid-racial-reckoning-grammys-honour-the-black-experience/story-3jTgMKAdzIpW34h5M6dAgI.html \n',"b'\n Amid racial reckoning, Grammys honour the Black experience \n'","b'\n Wed, 25 Nov 2020 05:27:28 GMT \n'","b'\n Beyonc\xc3\xa9\xe2\x80\x99s song \xe2\x80\x9cBlack Parade\xe2\x80\x9d and others focused on protesting, police brutality and the overall Black experience \xe2\x80\x94 are taking centre stage at the 2021 Grammy Awards. \n'",b'\n https://www.hindustantimes.com/art-and-culture/amid-racial-reckoning-grammys-honour-the-black-experience/story-3jTgMKAdzIpW34h5M6dAgI.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_b3589046-2ede-11eb-8f16-7e4c5fb0d4fd.jpg
b'\n https://www.hindustantimes.com/fashion-and-trends/brazilian-clothes-brand-removes-image-of-hindu-deity-from-shorts/story-ZuKbJZcGCoHxtZsHNkCTDI.html \n',b'\n Brazilian clothes brand removes image of Hindu deity from shorts \n',"b'\n Wed, 25 Nov 2020 05:04:33 GMT \n'","b'\n A Brazilian fashion clothes brand has removed ads for its line of shorts for men and women that used an image of Lord Ganesh, one of the most revered deities of Hinduism. \n'",b'\n https://www.hindustantimes.com/fashion-and-trends/brazilian-clothes-brand-removes-image-of-hindu-deity-from-shorts/story-ZuKbJZcGCoHxtZsHNkCTDI.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_2a37f03e-2edb-11eb-8f16-7e4c5fb0d4fd.jpg
b'\n https://www.hindustantimes.com/lifestyle/indian-teenage-sex-trafficking-survivor-sold-to-a-brothel-in-sonagachi-wins-unprecedented-compensation/story-JqHlSBlvnHMgqVvxPrjIDN.html \n',"b""\n Indian teenage sex trafficking survivor sold to a brothel in Sonagachi wins 'unprecedented'... \n""","b'\n Wed, 25 Nov 2020 04:15:23 GMT \n'","b'\n A teenage trafficking survivor in India has won Rs 9 lakh ($12,165) in a rare payout that lawyers said was \xe2\x80\x9cunprecedented\xe2\x80\x9d in size under the country\xe2\x80\x99s compensation schemes for victims. The survivor was 13 when she was trafficked from eastern Odisha state and sold to a brothel in Sonagachi, India\xe2\x80\x99s largest red-light district in the city of Kolkata, her lawyer said. \n'",b'\n https://www.hindustantimes.com/lifestyle/indian-teenage-sex-trafficking-survivor-sold-to-a-brothel-in-sonagachi-wins-unprecedented-compensation/story-JqHlSBlvnHMgqVvxPrjIDN.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/11/25/Pictures/_5e25eb82-2ed4-11eb-86db-632b3adc38eb.jpg
b'\n https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html \n',"b'\n HT Exclusive: Nudged by Ajit Doval, Myanmar army hands over 22 northeast insurg... \n'","b'\n Sat, 16 May 2020 08:16:36 GMT \n'",b'\n The handling over anti-India insurgents by Myanmar military is a culmination of months of work by NSA Ajit Doval and security agencies \n',b'\n https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_b4487a46-96b0-11ea-b40c-d7c2b81d84c3.jpg
b'\n https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html \n',b'\n Govt to create Rs 1 lakh crore Agri-Infrastructure Fund for marginalised farmers:... \n',"b'\n Fri, 15 May 2020 07:33:47 GMT \n'","b'\n The lack of adequate cold chain and post-harvest management in the vicinity of farm-gate is causing gaps in value chains. The government\xe2\x80\x99s focus has been on short-term crop loans while investment in long-term agriculture infrastructure has often not been enough, the minister indicated. \n'",b'\n https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html \n',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/16/Pictures/_cdbbcb4a-96e2-11ea-b40c-d7c2b81d84c3.jpg
